From	To
P00338	LDHA
Q5NUL3	FFAR4
Q9Y5R8	TRAPPC1
Q06278	AOX1
P17538	CTRB1
Q8WX39	LCN9
Q14573	ITPR3
O60779	SLC19A2
P49137	MAPKAPK2
Q9NR97	TLR8
P11086	PNMT
P01834	IGKC
P23368	ME2
P48443	RXRG
P05113	IL5
O43252	PAPSS1
Q9BZZ2	SIGLEC1
Q00536	CDK16
P01008	SERPINC1
Q13509	TUBB3
P34969	HTR7
P42262	GRIA2
Q8WTS6	SETD7
O60656	UGT1A9
P18505	GABRB1
P12319	FCER1A
Q9NZ42	PSENEN
Q96S86	HAPLN3
P05162	LGALS2
O60568	PLOD3
O95264	HTR3B
P11172	UMPS
P16662	UGT2B7
P62917	RPL8
Q9NUB1	ACSS1
P48147	PREP
P40429	RPL13A
Q02156	PRKCE
P61925	PKIA
O75899	GABBR2
P30531	SLC6A1
P48163	ME1
Q9Y6Y9	LY96
P49841	GSK3B
P30405	PPIF
Q96SW2	CRBN
Q9UNK4	PLA2G2D
P47989	XDH
P41595	HTR2B
P11388	TOP2A
P02787	TF
P14416	DRD2
P29466	CASP1
P54760	EPHB4
P30968	GNRHR
Q13133	NR1H3
Q03405	PLAUR
Q99456	KRT12
P03956	MMP1
O43617	TRAPPC3
P30926	CHRNB4
Q92731	ESR2
A8MPY1	GABRR3
Q16613	AANAT
P15328	FOLR1
P00742	F10
P01857	IGHG1
P10912	GHR
Q92876	KLK6
P07900	HSP90AA1
Q12866	MERTK
P43166	CA7
P29377	S100G
O14965	AURKA
P00441	SOD1
Q8N1C3	GABRG1
Q13332	PTPRS
P55055	NR1H2
P37059	HSD17B2
P17540	CKMT2
P56817	BACE1
Q9Y646	CPQ
P63208	SKP1
P22748	CA4
P35558	PCK1
P08758	ANXA5
P10275	AR
P54289	CACNA2D1
P07948	LYN
P50406	HTR6
P11474	ESRRA
Q9H3N8	HRH4
P09619	PDGFRB
P42126	ECI1
Q99928	GABRG3
P05231	IL6
P21917	DRD4
Q9Y468	L3MBTL1
P03951	F11
P51589	CYP2J2
O75489	NDUFS3
Q6NUS8	UGT3A1
P07919	UQCRH
P03952	KLKB1
P14324	FDPS
P80188	LCN2
P36544	CHRNA7
P00367	GLUD1
O43525	KCNQ3
Q9NVH6	TMLHE
P23763	VAMP1
Q14330	GPR18
P13866	SLC5A1
P12268	IMPDH2
Q16850	CYP51A1
Q92753	RORB
P06732	CKM
O14756	HSD17B6
Q9BY41	HDAC8
Q9UBS5	GABBR1
P51161	FABP6
Q9UHQ9	CYB5R1
P38435	GGCX
P09917	ALOX5
O15530	PDPK1
P36888	FLT3
P22894	MMP8
O95864	FADS2
P42898	MTHFR
P21918	DRD5
P10276	RARA
P32321	DCTD
Q16322	KCNA10
P15121	AKR1B1
P09601	HMOX1
P01133	EGF
P01270	PTH
Q06203	PPAT
O14646	CHD1
P07384	CAPN1
P50135	HNMT
P21802	FGFR2
Q14524	SCN5A
O00408	PDE2A
Q9NSA2	KCND1
P04424	ASL
Q06432	CACNG1
Q6NUM9	RETSAT
P04150	NR3C1
Q6WRI0	IGSF10
Q9BQB6	VKORC1
P41143	OPRD1
P25774	CTSS
Q96LZ3	PPP3R2
Q16678	CYP1B1
P53597	SUCLG1
P15509	CSF2RA
P33260	CYP2C18
P23434	GCSH
Q99584	S100A13
P28482	MAPK1
Q02641	CACNB1
P12235	SLC25A4
P20839	IMPDH1
P43220	GLP1R
Q13946	PDE7A
Q9Y697	NFS1
Q9UKQ2	ADAM28
P15336	ATF2
P08069	IGF1R
P13631	RARG
P51970	NDUFA8
P43403	ZAP70
P13501	CCL5
Q13547	HDAC1
P13716	ALAD
P11226	MBL2
P49916	LIG3
P24046	GABRR1
P16152	CBR1
P03923	MT-ND6
O95954	FTCD
P48065	SLC6A12
P24298	GPT
P49747	COMP
P22695	UQCRC2
Q10588	BST1
Q16348	SLC15A2
P19971	TYMP
P08235	NR3C2
P20711	DDC
P18510	IL1RN
P05164	MPO
P35557	GCK
Q16665	HIF1A
Q99884	SLC6A7
P01024	C3
P47712	PLA2G4A
Q96L21	RPL10L
P49589	CARS1
Q8TD30	GPT2
Q13555	CAMK2G
Q02643	GHRHR
P98164	LRP2
Q12809	KCNH2
O43708	GSTZ1
